filename,team,method,board,score,m_plus,delta_m_plus,m_cross,delta_m_cross,c_plus,delta_c_plus,c_cross,delta_c_cross
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn-10-2013-11-30T15:17:15.328583+00:00.g3,EPFL_HNN,HNN,control-ground-variable-post,92.2232155488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn_9-2013-11-30T15:28:39.003292+00:00.g3,EPFL_HNN,HNN,control-ground-variable-post,94.6865305503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn_11-2013-11-30T21:50:59.018285+00:00.g3,EPFL_HNN,HNN,control-ground-constant-post,27.6872233238,-0.0579245499707,0.0562669485025,-0.00557302652508,0.0233140746265,0.0167945823463,0.00142017364981,0.000846758045101,0.000593919348128
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn_12-2013-11-30T22:02:52.127720+00:00.g3,EPFL_HNN,HNN,control-ground-constant-post,44.1375603898,0.093309795108,0.0179004084951,0.0597263057251,0.0174615112688,0.00105319270482,0.0004518049964,0.000806603473815,0.00044482697925
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn_13-2013-12-02T11:59:28.411648+00:00.g3,EPFL_HNN,HNN,control-ground-constant-post,48.1405508604,0.0992143403347,0.023410381803,0.0203388274955,0.0236334022735,0.0011906655059,0.000590876318221,0.000800406081053,0.000602054128126
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn_14-2013-12-02T12:00:50.398934+00:00.g3,EPFL_HNN,HNN,control-ground-constant-post,27.644546756,-0.0538014243615,0.0568711958732,-0.00959235469393,0.0228624963652,0.0169454913516,0.0014354248091,0.0007754031669,0.000582415521753
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn_15-2013-12-02T12:18:51.859034+00:00.g3,EPFL_HNN,HNN,real_galaxy-ground-variable-post,84.2375379344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn_16-2013-12-02T12:24:06.462984+00:00.g3,EPFL_HNN,HNN,real_galaxy-ground-variable-post,86.027898515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn_vanilla_gv16-2013-12-02T12:35:05.209159+00:00.g3,EPFL_HNN,HNN,control-ground-variable-post,106.224349631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn-18-2013-12-02T12:39:53.719032+00:00.g3,EPFL_HNN,HNN,control-ground-variable-post,106.208198156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/megalut-megalut-bonn_megalut_2-2013-12-03T12:40:04.856454+00:00.g3,MegaLUT,MegaLUT,control-space-variable-post,263.476643878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn_19-2013-12-04T23:24:37.790291+00:00.g3,EPFL_HNN,HNN,control-ground-constant-post,2.78668571715,-1.27995576638,0.258464388801,-1.21463155218,0.233561906345,0.00636907032584,0.00652362220024,-0.00978835236919,0.00594992241322
